Athlete_Comp,Metric,Finish,Gender,Temp__Air,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score__1,Judge_7_Score__1,Major_Finalist,Major_Medalist,Nation,Olympic_Finalist,Olympic_Medalist,Temp__Snow,Season,Season_Comp,Round,Wind,age_yrs
MYSKO Alex - CAN - Canadian Selections 1 - 2019 - Qualification 1,41.07,34,Men,0.0,14.7,14.2,13.7,14.0,14.8,5.4,6.0,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,17.0
TANNER Daniel - CAN - Canadian Selections 1 - 2019 - Qualification 1,74.81,6,Men,0.0,19.0,18.6,18.2,17.4,18.2,4.8,3.9,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,22.0
FRECHETTE Christian - CAN - Canada Cup 1 - 2019 - Final 1,30.01,20,Men,-22.0,14.5,16.2,16.0,16.3,16.1,8.1,7.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Final 1,0.0,
GAGNON Louis - CAN - Canada Cup 2 - 2019 - Final 1,65.45,7,Men,0.0,15.6,16.2,16.2,17.6,16.9,7.0,7.1,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Final 1,0.0,
URTON Melisa - CAN - Canada Cup 2 - 2019 - Qualification 1,36.86,19,Women,0.0,12.5,12.5,12.6,12.6,12.9,5.0,5.0,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
MIYAMOTO Juri - JPN - Canadian Selections 1 - 2019 - Qualification 2,58.08,4,Women,0.0,14.2,14.8,13.7,15.3,14.0,6.5,5.7,0,0,JPN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,19.0
CORDELL Sam - CAN - Canada Cup 1 - 2019 - Qualification 1,70.19,10,Men,-22.0,15.6,17.0,16.5,16.4,16.4,6.9,7.2,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
PHILLIPS Ethan - CAN - Canadian Selections 1 - 2019 - Qualification 2,43.22,24,Men,0.0,13.6,13.3,14.1,14.8,14.2,6.9,7.2,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,18.0
PARADIS Louis - CAN - Canada Cup 1 - 2019 - Qualification 2,65.8,9,Men,-22.0,15.4,15.7,15.6,14.4,14.4,7.0,6.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
BERTRAND Felix - CAN - Canadian Selections 1 - 2019 - Final 1,75.74,3,Men,0.0,18.0,18.1,18.1,17.7,17.8,6.3,6.2,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Final 1,0.0,18.0
