Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
STRANDE Jordan - USA - North American Cup 3 - 2016 - Final 1,78.16,10,Men,18.1,16.6,16.2,16.8,17.1,6.8,7.4,Finals,2016,2016-North American Cup 3,Final 1,0.0,STRANDE Jordan - USA
HOFFMAN Zachary - CAN - North American Cup 4 - 2016 - Qualification 1,76.43,12,Men,16.0,15.4,16.3,17.2,17.4,8.0,8.5,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,HOFFMAN Zachary - CAN
CARROLL Robert - USA - North American Cup 1 - 2016 - Qualification 1,76.29,6,Men,17.6,16.3,17.0,16.8,16.5,8.4,8.1,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,CARROLL Robert - USA
STUDLER Abe - USA - North American Cup 3 - 2016 - Final 1,46.95,16,Men,16.0,17.9,15.3,16.8,17.3,7.0,7.7,Finals,2016,2016-North American Cup 3,Final 1,0.0,STUDLER Abe - USA
ANDRINGA Casey - USA - North American Cup 1 - 2016 - Final 1,83.49,1,Men,17.3,17.6,18.2,18.0,16.8,9.4,8.9,Finals,2016,2016-North American Cup 1,Final 1,5.5,ANDRINGA Casey - USA
SMITH Emerson - USA - North American Cup 3 - 2016 - Qualification 1,67.76,27,Men,16.4,14.9,16.6,14.5,15.9,4.0,5.0,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,SMITH Emerson - USA
DUMAIS Laurent - CAN - North American Cup 4 - 2016 - Qualification 1,83.04,2,Men,17.8,17.0,17.0,18.2,16.5,9.0,8.5,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,DUMAIS Laurent - CAN
MATHESON James - AUS - North American Cup 3 - 2016 - Qualification 1,78.77,5,Men,16.8,17.2,16.6,16.6,17.2,9.2,8.9,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,MATHESON James - AUS
KAPRONCZAI Julian - CAN - North American Cup 1 - 2016 - Qualification 1,68.16,24,Men,14.8,15.0,14.2,14.6,13.8,8.0,7.5,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,KAPRONCZAI Julian - CAN
CRONIN GUSS Angus - AUS - North American Cup 4 - 2016 - Qualification 1,19.24,54,Men,13.0,12.0,12.0,13.2,14.4,7.8,7.9,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,CRONIN GUSS Angus - AUS
COHEN Gabriel - USA - North American Cup 2 - 2016 - Qualification,68.93,21,Men,15.9,14.6,15.1,15.9,14.8,8.3,8.3,Qualification,2016,2016-North American Cup 2,Qualification,11.2,COHEN Gabriel - USA
MITCHELL Konrad - USA - North American Cup 2 - 2016 - Qualification,30.29,44,Men,13.8,13.0,10.5,10.9,11.5,5.9,6.4,Qualification,2016,2016-North American Cup 2,Qualification,11.2,MITCHELL Konrad - USA
PHIPPS Koleton - CAN - North American Cup 1 - 2016 - Qualification 1,56.32,35,Men,15.2,15.5,12.5,14.0,14.5,6.4,6.2,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,PHIPPS Koleton - CAN
BAILEY Hunter - USA - North American Cup 4 - 2016 - Qualification 1,78.61,8,Men,16.8,17.9,17.9,15.9,17.5,7.1,5.9,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,BAILEY Hunter - USA
KAPRONCZAI Julian - CAN - North American Cup 3 - 2016 - Final 1,78.61,8,Men,17.4,16.5,16.1,16.5,16.0,5.2,5.9,Finals,2016,2016-North American Cup 3,Final 1,0.0,KAPRONCZAI Julian - CAN
CLOUTIER ASSELIN Felix - CAN - North American Cup 4 - 2016 - Qualification 1,68.99,28,Men,14.8,15.8,14.1,14.8,14.7,5.6,5.8,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,CLOUTIER ASSELIN Felix - CAN
CRESCIMANNO Sterling - USA - North American Cup 4 - 2016 - Qualification 1,73.29,17,Men,15.0,16.3,15.8,16.5,17.2,6.2,7.9,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,CRESCIMANNO Sterling - USA
VOLPE Nathan - CAN - North American Cup 4 - 2016 - Qualification 1,58.77,39,Men,13.0,12.5,13.0,15.0,12.6,8.1,7.9,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,VOLPE Nathan - CAN
BAILEY Hunter - USA - North American Cup 2 - 2016 - Final 1,60.86,12,Men,16.5,15.9,17.0,14.9,15.5,8.2,7.5,Finals,2016,2016-North American Cup 2,Final 1,11.2,BAILEY Hunter - USA
COHEN Gabriel - USA - North American Cup 3 - 2016 - Qualification 1,68.5,26,Men,16.3,14.5,15.1,15.4,16.2,5.9,6.2,Qualification,2016,2016-North American Cup 3,Qualification 1,0.0,COHEN Gabriel - USA
MEGURO Misato - JPN - North American Cup 3 - 2016 - Final 1,67.04,15,Men,15.1,16.1,14.4,15.8,15.8,8.0,7.0,Finals,2016,2016-North American Cup 3,Final 1,0.0,MEGURO Misato - JPN
STUDLER Abe - USA - North American Cup 1 - 2016 - Qualification 1,73.22,10,Men,16.8,15.1,15.8,16.2,16.4,7.0,6.2,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,STUDLER Abe - USA
REILLY Trevor - USA - North American Cup 4 - 2016 - Final 1,77.3,10,Men,14.3,15.7,13.9,16.0,16.0,6.2,7.3,Finals,2016,2016-North American Cup 4,Final 1,0.0,REILLY Trevor - USA
BAILEY Hunter - USA - North American Cup 2 - 2016 - Qualification,77.56,6,Men,16.5,16.4,16.4,16.9,16.5,8.2,7.8,Qualification,2016,2016-North American Cup 2,Qualification,11.2,BAILEY Hunter - USA
ZEMBA Bryan - USA - North American Cup 4 - 2016 - Qualification 1,78.88,7,Men,16.8,16.2,16.8,16.7,17.4,7.4,8.4,Qualification,2016,2016-North American Cup 4,Qualification 1,0.0,ZEMBA Bryan - USA
PERRY Bruce - USA - North American Cup 2 - 2016 - Qualification,74.36,13,Men,16.8,16.8,16.2,18.2,17.7,8.2,7.2,Qualification,2016,2016-North American Cup 2,Qualification,11.2,PERRY Bruce - USA
CLOUTIER ASSELIN Felix - CAN - North American Cup 1 - 2016 - Qualification 1,53.97,36,Men,14.3,14.6,14.3,15.1,14.1,6.0,6.9,Qualification,2016,2016-North American Cup 1,Qualification 1,5.5,CLOUTIER ASSELIN Felix - CAN
MATHESON James - AUS - North American Cup 3 - 2016 - Final 1,79.17,5,Men,17.1,17.7,17.0,16.8,16.7,8.8,8.8,Finals,2016,2016-North American Cup 3,Final 1,0.0,MATHESON James - AUS
MATHESON James - AUS - North American Cup 4 - 2016 - Final 1,79.65,7,Men,17.0,16.9,16.5,16.9,17.4,7.3,8.0,Finals,2016,2016-North American Cup 4,Final 1,0.0,MATHESON James - AUS
