Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
LAFFONT Perrine - FRA - World Cup 4 - 2016 - Final 2,LAFFONT Perrine - FRA,Women,22.0,FRA,16.7,17.7,17.5,17.7,16.4,6.9,5.9,1,1,1,1,-3.0,0.0,0.6,2016,2016-World Cup 4,Final 2,78.91,1
SEO Jung Hwa - KOR - World Cup 1 - 2016 - Final 1,SEO Jung Hwa - KOR,Women,30.0,KOR,16.9,17.0,16.9,16.8,16.4,5.8,6.4,0,0,0,0,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,77.89,9
DUFOUR LAPOINTE Chloe - CAN - World Cup 3 - 2016 - Final 1,DUFOUR LAPOINTE Chloe - CAN,Women,29.0,CAN,16.8,16.6,16.9,16.3,16.5,7.8,7.6,1,1,1,1,-4.0,-4.0,1.6,2016,2016-World Cup 3,Final 1,77.36,2
NAUDE Andi - CAN - World Cup 2 - 2016 - Final 2,NAUDE Andi - CAN,Women,24.0,CAN,16.0,15.8,15.5,15.2,15.9,6.7,7.3,1,0,1,0,-3.0,3.0,3.9,2016,2016-World Cup 2,Final 2,74.11,3
ROBICHAUD Audrey - CAN - World Cup 3 - 2016 - Final 1,ROBICHAUD Audrey - CAN,Women,32.0,CAN,15.9,15.9,17.0,16.2,16.9,8.0,7.5,0,0,0,0,-4.0,-4.0,1.6,2016,2016-World Cup 3,Final 1,74.19,11
SUDOVA Nikola - CZE - World Cup 2 - 2015 - Final 2,SUDOVA Nikola - CZE,Women,38.0,CZE,17.2,17.3,17.0,17.4,17.3,6.8,6.9,1,0,1,0,-1.0,3.0,0.0,2015,2015-World Cup 2,Final 2,77.23,4
HOSHINO Junko - JPN - World Cup 4 - 2015 - Final 1,HOSHINO Junko - JPN,Women,31.0,JPN,12.6,13.8,13.6,14.4,12.6,8.1,8.4,0,0,0,0,-5.0,-17.0,0.0,2015,2015-World Cup 4,Final 1,69.13,10
NAUDE Andi - CAN - World Cup 5 - 2015 - Final 1,NAUDE Andi - CAN,Women,24.0,CAN,13.4,12.6,14.2,13.7,13.6,8.6,6.8,1,0,1,0,0.0,1.0,0.5,2015,2015-World Cup 5,Final 1,71.88,11
OAKLEY KC - USA - World Cup 4 - 2015 - Final 1,OAKLEY KC - USA,Women,32.0,USA,12.0,12.1,13.7,14.7,12.1,4.7,5.3,0,0,0,0,-5.0,-17.0,0.0,2015,2015-World Cup 4,Final 1,66.56,13
DUFOUR LAPOINTE Justine - CAN - World Cup 4 - 2015 - Final 1,DUFOUR LAPOINTE Justine - CAN,Women,26.0,CAN,7.1,7.2,7.4,5.5,5.1,1.6,1.0,1,1,1,1,-5.0,-17.0,0.0,2015,2015-World Cup 4,Final 1,40.09,14
