Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
DUFRESNE Gabriel - CAN - North American Cup 1 - 2018 - Final 1,DUFRESNE Gabriel - CAN,Men,24.0,CAN,17.5,18.1,18.2,17.4,17.7,8.8,9.2,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,79.95,7
TANNER Daniel - CAN - North American Cup 3 - 2018 - Final 1,TANNER Daniel - CAN,Men,22.0,CAN,17.5,16.3,17.7,16.6,17.0,9.1,8.1,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,77.16,15
KARIOTIS Jack - USA - North American Cup 1 - 2018 - Final 2,KARIOTIS Jack - USA,Men,23.0,USA,17.6,17.6,18.0,18.0,18.0,7.6,8.2,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 2,81.7,4
HEIMS Kalman - USA - North American Cup 2 - 2018 - Final 1,HEIMS Kalman - USA,Men,20.0,USA,18.0,18.0,17.0,17.1,16.6,5.9,6.3,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,69.14,14
WALCZYK Dylan - USA - North American Cup 2 - 2018 - Final 1,WALCZYK Dylan - USA,Men,27.0,USA,18.9,19.3,18.7,18.2,19.0,7.6,7.0,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,80.46,3
KELLY Brenden - CAN - North American Cup 1 - 2018 - Final 1,KELLY Brenden - CAN,Men,25.0,CAN,17.3,17.6,17.9,17.9,18.2,8.5,8.3,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,81.63,4
WENDLER Landon - USA - North American Cup 1 - 2018 - Final 1,WENDLER Landon - USA,Men,20.0,USA,16.7,17.1,17.1,16.7,16.6,6.7,6.9,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,74.06,12
MCQUINN George - USA - North American Cup 3 - 2018 - Final 1,MCQUINN George - USA,Men,22.0,USA,17.2,18.1,18.5,18.4,18.2,7.9,7.7,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,83.37,6
SUGIMOTO Kosuke - JPN - North American Cup 3 - 2018 - Final 2,SUGIMOTO Kosuke - JPN,Men,26.0,JPN,18.2,18.2,18.1,18.8,18.6,7.8,6.2,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 2,84.04,4
DUFRESNE Gabriel - CAN - North American Cup 2 - 2018 - Final 1,DUFRESNE Gabriel - CAN,Men,24.0,CAN,18.9,19.3,18.9,18.7,18.9,7.1,8.0,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,80.97,2
PHIPPS Koleton - CAN - North American Cup 2 - 2018 - Final 1,PHIPPS Koleton - CAN,Men,22.0,CAN,18.5,17.9,17.6,17.1,17.1,5.6,5.3,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,70.18,12
KELLY Brenden - CAN - North American Cup 1 - 2018 - Final 2,KELLY Brenden - CAN,Men,25.0,CAN,17.5,18.0,17.9,18.0,18.1,7.9,6.8,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 2,82.72,3
BAILEY Hunter - USA - North American Cup 1 - 2018 - Final 1,BAILEY Hunter - USA,Men,24.0,USA,18.1,17.9,17.4,17.7,17.9,6.6,7.4,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,79.08,9
