Athlete_Comp,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Metric,Finish
KAUF Jaelin - USA - World Cup 1 - 2019 - Qualification 2,KAUF Jaelin - USA,Women,24.0,USA,16.2,16.2,16.6,15.9,15.7,7.8,7.8,1,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 2,75.07,1
ELOFSSON Felix - SWE - World Championships - 2019 - Qualification 1,ELOFSSON Felix - SWE,Men,25.0,SWE,14.9,16.0,16.1,17.0,16.2,6.0,6.0,0,0,0,0,-1.0,-6.0,0.0,2019,2019-World Championships,Qualification 1,69.83,22
KANNINEN Topi - FIN - World Cup 6 - 2019 - Qualification 1,KANNINEN Topi - FIN,Men,25.0,FIN,13.8,15.4,14.5,14.0,13.8,7.2,8.0,0,0,0,0,-2.0,2.0,0.0,2019,2019-World Cup 6,Qualification 1,66.35,34
ITO Miki - JPN - World Cup 6 - 2019 - Final 1,ITO Miki - JPN,Women,33.0,JPN,15.5,14.9,14.7,15.0,15.2,5.9,6.3,1,1,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,67.95,15
ESCOBAR Jules - FRA - World Cup 6 - 2019 - Qualification 1,ESCOBAR Jules - FRA,Men,26.0,FRA,15.9,16.3,16.4,16.1,16.2,6.8,6.2,0,0,0,0,-2.0,2.0,0.0,2019,2019-World Cup 6,Qualification 1,73.4,18
GRASEMANN Laura - GER - World Cup 4 - 2019 - Qualification 1,GRASEMANN Laura - GER,Women,28.0,GER,14.0,15.6,14.7,14.4,14.4,5.3,6.0,0,0,0,0,-4.0,-18.0,0.0,2019,2019-World Cup 4,Qualification 1,64.39,17
LAFFONT Perrine - FRA - World Cup 6 - 2019 - Qualification 1,LAFFONT Perrine - FRA,Women,22.0,FRA,16.1,17.0,16.8,15.0,16.8,6.9,7.3,1,1,1,1,-2.0,2.0,0.0,2019,2019-World Cup 6,Qualification 1,77.38,1
SUIKKARI Johannes - FIN - World Cup 1 - 2019 - Qualification 1,SUIKKARI Johannes - FIN,Men,24.0,FIN,14.7,13.5,13.3,13.7,14.0,4.0,3.6,0,0,0,0,0.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 1,58.53,45
SHIKATA Motoki - JPN - World Cup 4 - 2019 - Final 1,SHIKATA Motoki - JPN,Men,27.0,JPN,13.9,14.0,12.1,12.0,11.8,8.2,7.9,0,0,0,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,66.23,14
LAFFONT Perrine - FRA - World Cup 2 - 2019 - Final 2,LAFFONT Perrine - FRA,Women,22.0,FRA,17.5,17.2,16.9,16.8,17.4,7.9,7.8,1,1,1,1,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 2,81.23,3
HARA Daichi - JPN - World Cup 7 - 2019 - Final 1,HARA Daichi - JPN,Men,23.0,JPN,17.5,17.4,17.5,17.3,17.0,7.4,7.1,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 7,Final 1,81.23,5
PENTTALA Jussi - FIN - World Cup 7 - 2019 - Qualification 1,PENTTALA Jussi - FIN,Men,27.0,FIN,15.8,15.7,15.8,16.0,17.0,7.3,6.4,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 7,Qualification 1,73.44,16
NING Qin - CHN - World Championships - 2019 - Qualification 2,NING Qin - CHN,Women,28.0,CHN,10.0,8.5,10.1,8.0,8.0,1.2,1.4,0,0,0,0,-1.0,-6.0,0.0,2019,2019-World Championships,Qualification 2,1.27,19
GUELI Claudia - AUS - World Cup 3 - 2019 - Qualification 1,GUELI Claudia - AUS,Women,23.0,AUS,15.0,14.1,15.0,15.5,13.9,8.0,8.2,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 3,Qualification 1,66.8,16
GALYSHEVA Yulia - KAZ - World Cup 7 - 2019 - Final 1,GALYSHEVA Yulia - KAZ,Women,28.0,KAZ,16.4,17.1,16.8,17.9,18.0,9.4,9.2,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 7,Final 1,84.82,1
DZIEMIAN Nessa - USA - World Cup 1 - 2019 - Qualification 2,DZIEMIAN Nessa - USA,Women,26.0,USA,15.7,14.9,15.2,15.0,14.8,6.1,5.8,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 2,68.39,9
CAVET Benjamin - FRA - World Cup 1 - 2019 - Qualification 1,CAVET Benjamin - FRA,Men,26.0,FRA,17.8,17.8,18.2,18.1,18.1,8.8,8.9,1,1,0,0,0.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 1,82.15,2
ANTHONY Jakara - AUS - World Cup 5 - 2019 - Qualification 1,ANTHONY Jakara - AUS,Women,22.0,AUS,17.0,16.4,16.7,16.7,17.0,8.4,8.4,1,1,1,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Qualification 1,77.35,1
CAVET Benjamin - FRA - World Cup 4 - 2019 - Qualification 1,CAVET Benjamin - FRA,Men,26.0,FRA,16.8,17.1,17.6,17.1,17.8,7.9,8.0,1,1,0,0,-4.0,-18.0,0.0,2019,2019-World Cup 4,Qualification 1,80.4,3
ASH Sophie - AUS - World Cup 3 - 2019 - Qualification 1,ASH Sophie - AUS,Women,24.0,AUS,13.3,13.5,13.2,12.9,14.0,5.7,5.9,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 3,Qualification 1,58.59,24
